,gene_group,associated_uniprot_IDs,associated_reactions
112,b0867,P75820,AGM3PApp;AGM4PApp
113,b1107,P75949,AGM3PH;AGM4PH;AGMH
114,b3619,P67910,AGMHE
115,b2937,P60651,AGMT
116,b3018,P26647,AGPAT120;AGPAT140;AGPAT141;AGPAT160;AGPAT161;AGPAT180;AGPAT181
117,b3958,P11446,AGPR
118,b2913,P0A9T0,AHGDx;ARHGDx;PGCD
119,b1511,P77432,AI2K
120,b4006,P15639,AICART;IMPC
121,b0522,P09029,AIRC2
122,b0523,P0AG18,AIRC3
123,b0116;b0726;b0727,P0A9P0;P0AFG3;P0AFG6,AKGDH
124,b1488,P77790,ALAALAD
125,b0381,P0A6J8,ALAALAr
126,b0092,P07862,ALAALAr
127,b1325,P51981,ALAGLUE
128,b1190,P29012,ALAR
129,b4053,P0A6B4,ALAR
130,b2551,P0A825,ALATA_D2;ALATA_L2;GHMT2r;THFAT;THRA;THRA2
131,b2290,P0A959,ALATA_L
132,b2379,P77434,ALATA_L
133,b1478,P39451,ALCD19;ALCD2x
134,b1385,P80668,ALDD19xr
135,b3588,P37685,ALDD2y;ALDD3y
136,b3003,P0AG84,ALDD2y
137,b0493,P0AFP4,ALDD2y
138,b4269,P27250,ALDD2y;ALDD3y
139,b2690,P77475,ALKP;E4PP;F1PP;F6PP;GNP;PGMT;R5PP
140,b4084,P32718,ALLK
141,b4090,P37351,ALLPI;RPI
142,b0516,P77425,ALLTAMH2
143,b0512,P77671,ALLTN
144,b4085,P32719,ALLULPE
145,b0657;b1677,P23930;P69776,ALPATE160pp;ALPATG160pp
146,b3012,Q46857,ALR2;DKGLCNR1
147,b0207,P30863,ALR2;DKGLCNR1
148,b1781,P76234,ALR2
149,b3001,Q46851,ALR2
150,b1771,P77256,ALR2x
151,b3945,P0A9S5,ALR4x;APPLDHr;GLYCDx;LALDO2x
152,b3091,P42604,ALTRH
153,b3416,P15977,AMALT1;AMALT2;AMALT3;AMALT4
154,b3223,P0A761,AMANAPEr
155,b3222,P45425,AMANK
156,b0774,P12995,AMAOTr
157,b3833,P0A887,AMMQLT8;OMBZLM
158,b3994,P30136,AMPMS2
159,b1982,P0AE12,AMPN
160,b0932,P04825,AMPTASECG;AMPTASEPG
161,b4260,P68767,AMPTASECG;AMPTASEPG
162,b2523,P37095,AMPTASECG;AMPTASEPG
163,b0237,P15288,AMPTASECG;AMPTASEPG;LALGP
164,b1640,P77570,ANHMK
165,b1263,P00904,ANPRT
166,b1263;b1264,P00904;P00895,ANS
167,b0776,P12998,AOXSr2
168,b0049,P05637,AP4AH;AP5AH;GP4GH
169,b4129,P0A8N5,AP4AS
170,b0121,P09158,APCS;SPMS
171,b3059,P60782,APG3PAT120;APG3PAT140;APG3PAT141;APG3PAT160;APG3PAT161;APG3PAT180;APG3PAT181
172,b0968,P0AB65,APH120;APH140;APH141;APH160;APH161;APH180;APH181
173,b0414,P25539,APRAUR;DHPPDA2
174,b2802,P69922,ARABDI;FCI
175,b0062,P08202,ARAI
176,b4117,P28629,ARGDC
177,b2938,P21170,ARGDCpp
178,b3960,P11447,ARGSL
179,b3172,P0A6E4,ARGSS
180,b4096;b4099;b4100;b4101,P16679;P16687;P16686;P16685,ARMEPNS
181,b3433,P0A9Q9,ASAD
182,b4192,P39300,ASCBPL
183,b1767,P0A962,ASNN
184,b0828,P37595,ASNN
185,b2957,P00805,ASNNpp;GLUNpp
186,b0674,P22106,ASNS1;ASNS2
187,b3744,P00963,ASNS2
188,b0131,P0A790,ASP1DC
189,b4244;b4245,P0A7F3;P0A786,ASPCT
190,b4245,P0A786,ASPCT
191,b0002,P00561,ASPK;HSDy
192,b3940,P00562,ASPK;HSDy
193,b4024,P08660,ASPK
194,b2574,P10902,ASPO3;ASPO4;ASPO5;ASPO6
195,b4139,P0AC38,ASPT
196,b0928,P00509,ASPTA;CYSTA;PHETA1;TYRTA
197,b4054,P04693,ASPTA;LEUTAi;PHETA1;TYRTA
198,b1747,P0AE37,AST
199,b1539,P39831,ATHRDHr;DSERDHr;LSERDHr;MSAR
200,b2019,P60757,ATPPRT
