,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
b2053,GMAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2051,GDPMNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2750,ADSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0110,AGM3PA,AGM4PA,AM3PA,AM4PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0335,ACCOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0334,MCITD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0337,CSND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0238,GUAPRT,HXPRT,XPPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3930,DHNAOT4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0237,AMPTASECG,AMPTASEPG,LALGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0339,HCO3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0605;b0606,NADHPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3939,SHSL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2710;b2711,NHFRBO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2818,ACGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0849;b2675;b2676,RNDR1b,RNDR2b,RNDR3b,RNDR4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0849;b2762,PAPSR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2435,AGM3PApp,AGM4PApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2436,CPPPGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2430,MDDCP1pp,MDDCP2pp,MDDCP3pp,MDDCP4pp,MDDCP5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2431,FCLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0116;b2903;b2904;b2905,GLYCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1638,PDX5POi,PYAM5PO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1636,PYDXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3371,FRULYSDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0693,ORNDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3583,RBP4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3582,X5PL3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3028,NADPHQR2,NADPHQR3,NADPHQR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3029,QMO2,QMO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3581,KG6PDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3629,RHAT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1394;b1397,OXDHCOAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1388;b1389;b1390;b1391;b1392,PACCOAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0333,MCITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4298,2DDARAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3590,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3619,AGMHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1704,DDPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2023;b2025,IG3PS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0089;b1069;b3208,MPTG,MPTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3612,PGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1679;b1680,SCYSDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3610,GRXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3617,GLYAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0593,ICHORS_copy1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0650,NTP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3614,CDPPH,NDP3,NDP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2373,OXCDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3589,THRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0776,AOXSr2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4374,NTD1,NTD2,NTD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3621,HEPT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0508,HPYRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0092,ALAALAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3397,ADPRDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3115,ACKr,PPAKr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3117,SERD_L,THRD_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0306;b0307;b0308,L_LACD2,L_LACD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3804,UPP3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3132;b3137,TGBPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4382,DURIPP,TMDPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0784;b0785,MPTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0720,CS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4383,PPM,PPM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3059,APG3PAT120,APG3PAT140,APG3PAT141,APG3PAT160,APG3PAT161,APG3PAT180,APG3PAT181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3058,DHNPA2r,DHNPTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3057,UDCPDP,UDCPDPpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1380,LDH_D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1387,OXCOAHDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1386,42A12BOOXpp,PEAMNOpp,TYROXDApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1385,ALDD19xr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3052,GMHEPAT,GMHEPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4053,ALAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4054,ASPTA,LEUTAi,PHETA1,TYRTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4055,G2PPpp,NTD10pp,NTD11pp,NTD12pp,NTD1pp,NTD2pp,NTD3pp,NTD4pp,NTD5pp,NTD6pp,NTD7pp,NTD8pp,NTD9pp,PSP_Lpp,PTHRpp,R5PPpp,TYRPpp,,,,,,,,,,,,,,,,,,,,,,,,,
b3374,FRULYSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2901,AB6PGH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0578,DHPTDNR,DHPTDNRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0477,GSNK,INSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0474,ADK1,ADK3,ADK4,ADNK1,DADK,NDPK1,NDPK2,NDPK3,NDPK4,NDPK5,NDPK6,NDPK7,NDPK8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2907,OMPHHXy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4119,GALS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4388,PSP_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1681;b1682;b1683,S4FE4SR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2019,ATPPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2021,HSTPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1415,GCALDD,LCADi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2751;b2752,SADT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3825,LPLIPAL2A120,LPLIPAL2A140,LPLIPAL2A141,LPLIPAL2A160,LPLIPAL2A161,LPLIPAL2A180,LPLIPAL2A181,LPLIPAL2ATE120,LPLIPAL2ATE140,LPLIPAL2ATE141,LPLIPAL2ATE160,LPLIPAL2ATE161,LPLIPAL2ATE180,LPLIPAL2ATE181,LPLIPAL2ATG120,LPLIPAL2ATG140,LPLIPAL2ATG141,LPLIPAL2ATG160,LPLIPAL2ATG161,LPLIPAL2ATG180,LPLIPAL2ATG181,LPLIPAL2E120,LPLIPAL2E140,LPLIPAL2E141,LPLIPAL2E160,LPLIPAL2E161,LPLIPAL2E180,LPLIPAL2E181,LPLIPAL2G120,LPLIPAL2G140,LPLIPAL2G141,LPLIPAL2G160,LPLIPAL2G161,LPLIPAL2G180,LPLIPAL2G181,,,,,,,
b0243,G5SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4117,ARGDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0778,DBTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0381,ALAALAr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2154,SFGTHi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0475,FCLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3752,RBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0099,DNTPPA,NTPP1,NTPP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2379,ALATA_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2378,EDTXS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0133,PANTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0154,G1SAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0159,5DOAN,AHCYSNS,MTAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0091,UAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2371,ACOXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1746,SGSAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2407,PUNP3,PUNP4,PUNP5,PUNP6,PUNP7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0096,UHGADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2374,FORCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2153,GTPCI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2877,MOCDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2871,DAPAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2873,PHDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1812;b3360,ADCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2010,MDDCP1pp,MDDCP2pp,MDDCP3pp,MDDCP4pp,MDDCP5pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2400,GLUTRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4025,PGI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4024,ASPK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0074,IPPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3870,GLNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0073,IPMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1014,P5CD,PROD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2976,MALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3974,PNTK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0376,MDDCP1pp,MDDCP2pp,MDDCP3pp,MDDCP4pp,MDDCP5pp,MDDEP1pp,MDDEP2pp,MDDEP3pp,MDDEP4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0684;b3924;b4237;b4238,RNTR1c2,RNTR2c2,RNTR3c2,RNTR4c2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2918,NTP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2027;b2035,O16AP1pp,O16AP2pp,O16AP3pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2478,DHDPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3475,ACPS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0902;b0903,OBTFL,PFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2574,ASPO3,ASPO4,ASPO5,ASPO6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0383,3NTD2pp,3NTD4pp,3NTD4pp,3NTD7pp,3NTD9pp,ACP1p,G1PPpp,G2PPpp,NTD2pp,NTD4pp,NTD7pp,NTD9pp,PPTHpp,PSP_Lpp,PTHRpp,R5PPpp,,,,,,,,,,,,,,,,,,,,,,,,,,
b2472,SDPDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2028,UDPGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0388,SHKK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2476,PRASCSi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2411,NADDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3433,ASAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2705,SBTPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2700,NMNDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2701,MLTGY1pp,MLTGY2pp,MLTGY3pp,MLTGY4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3960,ARGSL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2708,A5PISO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3972,UAPGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0207,ALR2,DKGLCNR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3430,GLGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0200,GMHEPPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0344,LACZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2498,UPPRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2499,PRAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2889,IPDDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2538;b2539;b2540;b2542,CINNDO,PPPNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1854,PYK,PYK2,PYK3,PYK4,PYK6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0639,NMNAT,NNATr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2883,GUAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0347,3HCINNMH,3HPPPNH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1008,MSAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0348,DHCINDO,HPPPNDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2799,LCARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2794,CDGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1002,G1PPpp,GAL1PPpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1004,NADH10,NADH5,NADH9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2582;b4136,DSBDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4239,TRE6PH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0759,UDPG4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0758,UGLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3962,NADTRHD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1832;b2582,METSOXR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1210,GLUTRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4232,FBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0750,QULNS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1215,KDOPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0756,GALM2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3091,ALTRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0754,DDPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1189,DAAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1602;b1603,THD2pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0089;b1069;b3396,MPTG,MPTG2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3011,13PPDH2,ALDD2y,ALDD3y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0186,LYSDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3012,ALR2,DKGLCNR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2762;b3781,PAPSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2480;b2582,THIORDXi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3018,AGPAT120,AGPAT140,AGPAT141,AGPAT160,AGPAT161,AGPAT180,AGPAT181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2762;b3610,PAPSR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1852,G6PDH2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1851,EDD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1919,CYSDDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1856,MDDEP1pp,MDDEP2pp,MDDEP3pp,MDDEP4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1855,EDTXS2,EDTXS4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1678,MCTP1Bpp,MLDCP1App,MLDCP1Bpp,MLDCP2App,MLDCP2Bpp,MLDCP3App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1912,PGSA120,PGSA140,PGSA141,PGSA160,PGSA161,PGSA180,PGSA181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1676,PYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3945,ALR4x,APPLDHr,GLYCDx,LALDO2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1325,ALAGLUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3729,GF6PTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1326,LADGMDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2029,GND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4070;b4071;b4072;b4073,NTRIR3pp,NTRIR4pp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0109,NNDPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3721,AB6PGH,BGLA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0485,GLUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0103,DPCOAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2047,UDPGPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3236,MDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1695,ACOAD1fr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1694,ACACCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1759,NTPP3,NTPP4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1693,DHQTi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1692,QUINDH,QUINDHyi,SHK3Dr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4245,ASPCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3365;b3366,NTRIR2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0116;b0726;b0727,AKGDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4042,DAGK120,DAGK140,DAGK141,DAGK160,DAGK161,DAGK180,DAGK181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0583,ENTCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0586,SERASr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0507,GLXCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0025,FMNAT,RBFK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4040,HBZOPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0386,P5CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0613,TPRDCOAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3551,BSORx,BSORy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3553,2DGULRGx,2DGULRGy,2DGULRx,2DGULRy,DKGLCNR2x,DKGLCNR2y,GLYCLTDx,GLYCLTDy,HPYRRx,HPYRRy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3125,TRSARr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3124,GLYCK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3805,HMBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1449,CURR,DHCURR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2168,FRUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1654,GRXR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2687,RHCCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2930,FBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3368,SHCHD2,SHCHF,UPP3MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2935,TKT1,TKT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3429,GLCS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2937,AGMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b0404,FA100ACPHi,FA120ACPHi,FA140ACPHi,FA141ACPHi,FA160ACPHi,FA161ACPHi,FA80ACPHi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
